Product Name,Product Price,Product URL,Ratings,Brand,Hardware Interface,Memory
Apricorn 500GB Aegis Padlock USB 3.0 256-bit AES XTS Hardware Encrypted Portable External Hard Drive (A25-3PL256-500),155.14,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0733579VNCT2BDFPYJ8&url=%2FApricorn-Hardware-Encrypted-Portable-A25-3PL256-500%2Fdp%2FB007JGB0BQ%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3DSeagate%2BHard%2BDrive%26qid%3D1619424557%26sr%3D8-28-spons%26psc%3D1&qualifier=1619424557&id=2053760944892977&widgetName=sp_mtf,4.6 out of 5 stars,Apricorn,USB,500 GB
Apricorn 30GB Aegis Secure Key FIPS 140-2 Level 3 Validated 256-bit Encryption USB 3.0 Flash Drive (ASK3-30GB),130.94,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A072437138OGFCFH7WJG4&url=%2FApricorn-Validated-256-bit-Encryption-ASK3-30GB%2Fdp%2FB00XWPGKCW%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3DSeagate%2BHard%2BDrive%26qid%3D1619424467%26sr%3D8-16-spons%26psc%3D1&qualifier=1619424467&id=8829534904006922&widgetName=sp_mtf,4.4 out of 5 stars,Apricorn,USB 3.0,30 GB
"Crucial BX500 240GB 3D NAND SATA 2.5-Inch Internal SSD, up to 540MB/s - CT240BX500SSD1 Black/Blue",39.16,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A06931592MPV47WK4AZPS&url=%2FCrucial-BX500-240GB-2-5-Inch-Internal%2Fdp%2FB07G3YNLJB%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3DHP%2BHard%2BDrive%26qid%3D1619424003%26sr%3D8-49-spons%26psc%3D1&qualifier=1619424003&id=2041495442332814&widgetName=sp_atf_next,4.8 out of 5 stars,Crucial,SATA 6.0 Gb/s,240 GB
"Crucial X8 1TB Portable SSD – Up to 1050MB/s – USB 3.2 – External Solid State Drive, USB-C, USB-A – CT1000X8SSD9",124.95,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00790321JIZSIB9JU9Y&url=%2FCrucial-1TB-Portable-SSD-USB%2Fdp%2FB07YD5TK4F%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DSanDisk%2BHard%2BDrive%26qid%3D1619424208%26sr%3D8-1-spons%26psc%3D1&qualifier=1619424208&id=5706392565895059&widgetName=sp_atf,4.6 out of 5 stars,Crucial,USB 3.1 Type C,1 TB
EASTFUN 5Pcs 8GB USB Flash Drive USB 2.0 Flash Memory Stick Thumb Stick Pen(Five Mixed Colors: Blue Purple Rose Green Gold),12.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A027198021EWH9KPC5Y1H&url=%2FEASTFUN-Flash-Drive-Memory-Colors%2Fdp%2FB01CKT1DTA%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3DSanDisk%2BHard%2BDrive%26qid%3D1619424319%26sr%3D8-18-spons%26psc%3D1&qualifier=1619424319&id=2732120363140113&widgetName=sp_atf_next,4.6 out of 5 stars,EASTFUN,USB 2.0,8 GB
"Fantom Drives 5TB Internal Hard Drive Upgrade Kit with Seagate Barracuda ST5000LM000, 2.5"", 15mm, 5400RPM, 128MB Cache",152.09,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A055399427QSW3TYLOFV1&url=%2FFantom-Drives-Barracuda-ST5000LM000-Converter%2Fdp%2FB07NX8RKH4%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3DSeagate%2BHard%2BDrive%26qid%3D1619424557%26sr%3D8-38-spons%26psc%3D1&qualifier=1619424557&id=2053760944892977&widgetName=sp_btf,4.3 out of 5 stars,Fantom Drives,SATA 6.0 Gb/s,5 TB
"G-Technology 2TB G-DRIVE mobile SSD Durable Portable External Storage - USB-C (USB 3.1), Up to 560 MB/s - 0G06054-1, black",299.95,https://www.amazon.com//G-Technology-0G06054-G-Drive-Portable-Storage/dp/B0765LJWFZ/ref=sr_1_61?dchild=1&keywords=Samsung+Hard+Drive&qid=1619425095&sr=8-61,4.8 out of 5 stars,G-Technology,"USB 3.0 Type A, USB 3.0 Type C",2 TB
"External Hard Drive 2TB, Portable Hard Drive External for PC, Laptop and Mac(red,2TB)",49.99,https://www.amazon.com//External-Hard-Drive-Portable-Laptop/dp/B08ZD5BKFX/ref=sr_1_34?dchild=1&keywords=Lenovo+Hard+Drive&qid=1619424013&sr=8-34,2.5 out of 5 stars,Generial,"USB, USB 2.0",2000 GB
"2TB External Hard Drive, Portable Hard Drive External Type-C/USB 2.0 HDD for Mac Laptop PC(2TB-red)",49.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A10347561OR8NDFR12CMP&url=%2FExternal-Portable-Type-C-Laptop-2TB-red%2Fdp%2FB08V1CGBGW%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BHard%2BDrive%26qid%3D1619424971%26sr%3D8-44-spons%26psc%3D1%26smid%3DA1ZKQUNDQVVQG1&qualifier=1619424971&id=4502360763175844&widgetName=sp_mtf,5.0 out of 5 stars,Genericn,"USB, USB 2.0",2000 GB
"External Hard Drive 2TB, Portable Hard Drive External for PC, Laptop and Mac (2TB, Silver)",49.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05665993TYZHI09142D5&url=%2FExternal-Drive-Portable-Laptop-Silver%2Fdp%2FB08TWJXWB5%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3DHP%2BHard%2BDrive%26qid%3D1619423770%26sr%3D8-19-spons%26psc%3D1%26smid%3DA1ZKQUNDQVVQG1&qualifier=1619423770&id=7476227923822197&widgetName=sp_btf,4.0 out of 5 stars,Genericn,"USB, USB 2.0",2000 GB
