Product Name,Product Price,Product URL,Brand,Color,Memory Storage Capacity,Ratings
BLU G9 PRO |2020| All Day Battery | Unlocked | US Version | US Warranty | 4/128GB | Nightfall,149.99,https://www.amazon.com//BLU-Smartphone-Triple-Camera-Nightfall/dp/B07VB5LDD1/ref=sr_1_19?dchild=1&keywords=Vivo+Mobile&qid=1619350500&sr=8-19,BLU,Nightfall,128 GB,4.2
"BLU Studio Mini -5.5HD Smartphone, 32GB+2GB Ram -Black",69.99,https://www.amazon.com//BLU-Studio-5-5HD-Smartphone-Black/dp/B07SSCJHT1/ref=sr_1_23?dchild=1&keywords=Vivo+Mobile&qid=1619350500&sr=8-23,BLU,Black,64 GB,4
"Motorola Moto G Fast Smartphone, 32GB Storage, Unlocked - Pearl White",199.85,https://www.amazon.com//Motorola-Moto-Smartphone-Storage-Unlocked/dp/B08B1SVLHV/ref=sr_1_7?dchild=1&keywords=Motorola+Mobile&qid=1619350562&sr=8-7,Motorola,White,32 GB,5
"Moto G10 (128GB, 4GB) 6.5"" HD+, 5000mAh Battery, 48MP Quad Rear Camera, Dual SIM GSM Global Unlocked 4G LTE (T-Mobile, AT&T, Metro) International Model XT2127-2 (Fast Car Charger Bundle, Aurora Grey)",199.99,https://www.amazon.com//5000mAh-Unlocked-T-Mobile-International-XT2127-2/dp/B091BH2T9B/ref=sr_1_24?dchild=1&keywords=Motorola+Mobile&qid=1619350977&sr=8-24,Motorola,Aurora Grey,128 GB,5
Moto G Power | 2021 | 3-Day Battery | Unlocked | Made for US by Motorola | 3/32GB | 48MP Camera | Silver,199.99,https://www.amazon.com//Battery-Unlocked-Motorola-Camera-Silver/dp/B08NWDMR9N/ref=sr_1_23?dchild=1&keywords=Motorola+Mobile&qid=1619350977&sr=8-23,Motorola,32GB,64 GB,4.6
Moto G7 Plus | Unlocked | Made for US by Motorola | 4/64GB | 16MP Camera | 2019 | Black,122.99,https://www.amazon.com//Moto-Unlocked-Motorola-Camera-Black/dp/B08GL2HKLT/ref=sr_1_3?dchild=1&keywords=Motorola+Mobile&qid=1619350562&sr=8-3,Motorola,Black,64 GB,4.5
Moto G Play | 2021 | 3-Day Battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Blue,169.99,https://www.amazon.com//3-Day-Battery-Unlocked-Motorola-Camera/dp/B08NWGBHG3/ref=sr_1_21?dchild=1&keywords=Motorola+Mobile&qid=1619350977&sr=8-21,Motorola,Blue,32 GB,4.5
Moto G Stylus | 2021 | 2-Day Battery | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | White,299.99,https://www.amazon.com//Stylus-Battery-Unlocked-Motorola-Camera/dp/B08NWCT6SK/ref=sr_1_19?dchild=1&keywords=Motorola+Mobile&qid=1619350562&sr=8-19,Motorola,White,128 GB,4.5
Motorola One 5G | 2020 | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | Blue,349.99,https://www.amazon.com//Motorola-2020-Unlocked-128GB-Camera/dp/B08XWKNRPV/ref=sr_1_17?dchild=1&keywords=Motorola+Mobile&qid=1619350562&sr=8-17,Motorola,Blue,128 GB,4.5
Motorola One Action XT2013 128GB Unlocked GSM Dual SIM Phone w/ 12MP Camera - Denim Blue,209.93,https://www.amazon.com//Motorola-Action-XT2013-Unlocked-Camera/dp/B07ZTN5F21/ref=sr_1_14?dchild=1&keywords=Motorola+Mobile&qid=1619350562&sr=8-14,Motorola,Denim Blue,128 GB,4.4
